ward_code,metric,ward_name,value
E05011395,WARDS - RECEIVING ACTIVITY,Guiseley & Rawdon,4
E05011549,WARDS - RECEIVING ACTIVITY,Otley & Yeadon,2
E05012842,WARDS - RECEIVING ACTIVITY,Alwoodley,5
E05011396,WARDS - RECEIVING ACTIVITY,Harewood,0
E05011414,WARDS - RECEIVING ACTIVITY,Wetherby,0
E05011547,WARDS - RECEIVING ACTIVITY,Horsforth,3
E05011413,WARDS - RECEIVING ACTIVITY,Weetwood,3
E05011405,WARDS - RECEIVING ACTIVITY,Moortown,11
E05011411,WARDS - RECEIVING ACTIVITY,Roundhay,0
E05011389,WARDS - RECEIVING ACTIVITY,Calverley & Farsley,10
E05011387,WARDS - RECEIVING ACTIVITY,Bramley & Stanningley,6
E05011402,WARDS - RECEIVING ACTIVITY,Kirkstall,11
E05011397,WARDS - RECEIVING ACTIVITY,Headingley & Hyde Park,17
E05011390,WARDS - RECEIVING ACTIVITY,Chapel Allerton,21
E05011400,WARDS - RECEIVING ACTIVITY,Killingbeck & Seacroft,20
E05011409,WARDS - RECEIVING ACTIVITY,Pudsey,0
E05011385,WARDS - RECEIVING ACTIVITY,Armley,16
E05011403,WARDS - RECEIVING ACTIVITY,Little London & Woodhouse,20
E05011394,WARDS - RECEIVING ACTIVITY,Gipton & Harehills,23
E05011391,WARDS - RECEIVING ACTIVITY,Cross Gates & Whinmoor,6
E05012648,WARDS - RECEIVING ACTIVITY,Farnley & Wortley,15
E05012647,WARDS - RECEIVING ACTIVITY,Beeston & Holbeck,23
E05011399,WARDS - RECEIVING ACTIVITY,Hunslet & Riverside,16
E05011388,WARDS - RECEIVING ACTIVITY,Burmantofts & Richmond Hill,26
E05013831,WARDS - RECEIVING ACTIVITY,Temple Newsam,1
E05011406,WARDS - RECEIVING ACTIVITY,Morley North,6
E05011404,WARDS - RECEIVING ACTIVITY,Middleton Park,11
E05011410,WARDS - RECEIVING ACTIVITY,Rothwell,0
E05013830,WARDS - RECEIVING ACTIVITY,Garforth & Swillington,3
E05011407,WARDS - RECEIVING ACTIVITY,Morley South,8
E05011384,WARDS - RECEIVING ACTIVITY,Ardsley & Robin Hood,2
E05011401,WARDS - RECEIVING ACTIVITY,Kippax & Methley,2
