ward_code,metric,ward_name,value
E05011395,WARDS - APPLICANT BASED,Guiseley & Rawdon,0
E05011549,WARDS - APPLICANT BASED,Otley & Yeadon,0
E05012841,WARDS - APPLICANT BASED,Adel and Wharfedale,0
E05012842,WARDS - APPLICANT BASED,Alwoodley,0
E05011396,WARDS - APPLICANT BASED,Harewood,0
E05011414,WARDS - APPLICANT BASED,Wetherby,0
E05011547,WARDS - APPLICANT BASED,Horsforth,0
E05011413,WARDS - APPLICANT BASED,Weetwood,0
E05011405,WARDS - APPLICANT BASED,Moortown,0
E05011411,WARDS - APPLICANT BASED,Roundhay,0
E05011389,WARDS - APPLICANT BASED,Calverley & Farsley,0
E05011387,WARDS - APPLICANT BASED,Bramley & Stanningley,0
E05011402,WARDS - APPLICANT BASED,Kirkstall,0
E05011397,WARDS - APPLICANT BASED,Headingley & Hyde Park,1
E05011390,WARDS - APPLICANT BASED,Chapel Allerton,0
E05011400,WARDS - APPLICANT BASED,Killingbeck & Seacroft,0
E05011409,WARDS - APPLICANT BASED,Pudsey,0
E05011385,WARDS - APPLICANT BASED,Armley,0
E05011403,WARDS - APPLICANT BASED,Little London & Woodhouse,7
E05011394,WARDS - APPLICANT BASED,Gipton & Harehills,0
E05011391,WARDS - APPLICANT BASED,Cross Gates & Whinmoor,0
E05012648,WARDS - APPLICANT BASED,Farnley & Wortley,0
E05012647,WARDS - APPLICANT BASED,Beeston & Holbeck,1
E05011399,WARDS - APPLICANT BASED,Hunslet & Riverside,2
E05011388,WARDS - APPLICANT BASED,Burmantofts & Richmond Hill,1
E05013831,WARDS - APPLICANT BASED,Temple Newsam,0
E05011406,WARDS - APPLICANT BASED,Morley North,0
E05011404,WARDS - APPLICANT BASED,Middleton Park,0
E05011410,WARDS - APPLICANT BASED,Rothwell,0
E05013830,WARDS - APPLICANT BASED,Garforth & Swillington,0
E05011407,WARDS - APPLICANT BASED,Morley South,0
E05011384,WARDS - APPLICANT BASED,Ardsley & Robin Hood,0
E05011401,WARDS - APPLICANT BASED,Kippax & Methley,0
